單字,中文定義,星級,分數區間,分類,詞性,【詞性變化】,搭配詞,例句
inform,通知；告知,4,600-780,溝通互動,verb,"verb: inform, informs, informing, informed","inform someone of something 通知某人某事","Please inform the manager if you are going to be late.
如果你會遲到，請通知經理。"
schedule,安排；行程表,5,400-600,辦公日常,"verb, noun","verb: schedule, schedules, scheduling, scheduled","meeting schedule 會議時程","We scheduled the product review for Friday afternoon.
我們將產品檢討安排在星期五下午。"
invoice,發票；請款單,4,600-780,金融與會計,"noun, verb","noun: invoice, invoices","issue an invoice 開立發票","Please send the invoice to the accounting department.
請將發票寄給會計部門。"
shipment,出貨；一批貨物,4,600-780,營運管理,noun,"noun: shipment, shipments","track a shipment 追蹤貨件","The shipment is expected to arrive tomorrow morning.
這批貨預計明天上午抵達。"
negotiate,談判；協商,4,780-900,溝通互動,verb,"verb: negotiate, negotiates, negotiating, negotiated","negotiate a contract 協商合約","The two companies are negotiating a long-term agreement.
兩家公司正在協商長期合作協議。"
deadline,截止期限,5,400-600,辦公日常,noun,"noun: deadline, deadlines","meet a deadline 如期完成","The team worked efficiently to meet the deadline.
團隊高效率工作以趕上截止期限。"
recruit,招募；招聘,4,600-780,人力資源,"verb, noun","verb: recruit, recruits, recruiting, recruited","recruit new employees 招募新員工","The company plans to recruit five new engineers.
公司計畫招募五位新工程師。"
audit,稽核；審計,3,780-900,金融與會計,"noun, verb","verb: audit, audits, auditing, audited","annual audit 年度稽核","The finance team is preparing for the annual audit.
財務團隊正在準備年度稽核。"
venue,活動場地；會場,3,600-780,旅遊與交通,noun,"noun: venue, venues","conference venue 會議場地","The conference venue is close to the train station.
會議場地靠近火車站。"
postpone,延期；延後,4,600-780,營運管理,verb,"verb: postpone, postpones, postponing, postponed","postpone a meeting 延後會議","We had to postpone the meeting because of the storm.
因為暴風雨，我們不得不延後會議。"
